"filename", "language", "XML", "Batch", "Properties", "Java", "SQL", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"/home/rivalq/CS/store/src/main/resources/static/js/toast.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/rivalq/CS/store/src/main/resources/templates/SellerclothInterface.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 103, 0, 15, 118
"/home/rivalq/CS/store/src/main/resources/templates/admin.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 96, 0, 14, 110
"/home/rivalq/CS/store/src/main/resources/templates/clothWithEdit.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 111, 0, 16, 127
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/Cart.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 3, 52
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/ClothBuilder.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 69, 0, 12, 81
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/clothes.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 7, 45
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/footer.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/header.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 6, 11, 33
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/logoutModal.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/toast.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/listclothes.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 9, 31
"/home/rivalq/CS/store/src/main/resources/templates/dashboard/login.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 41
"/home/rivalq/CS/store/src/main/resources/templates/profile.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 128, 2, 17, 147
"/home/rivalq/CS/store/src/main/resources/templates/seller.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"/home/rivalq/CS/store/src/main/resources/templates/sellerCloths.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 134, 0, 9, 143
"/home/rivalq/CS/store/src/test/java/com/dbms/store/StoreApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"/home/rivalq/CS/store/table.sql", "SQL", 0, 0, 0, 0, 88, 0, 0, 0, 0, 19, 107
"Total", "-", 65, 96, 8, 1377, 88, 693, 191, 7438, 2601, 13831, 26388
